Timestamp,Object,Counter Shape Name,Count
2025-06-01 18:50:12.778,truck,main road angre out,1
2025-06-01 18:50:12.785,truck,playce / camp,1
2025-06-01 18:50:13.047,truck,main road angre out,2
2025-06-01 18:50:13.053,truck,playce / camp,2
2025-06-01 18:50:15.163,truck,main road angre out,3
2025-06-01 18:50:15.167,truck,playce / camp,3
2025-06-01 18:50:17.273,truck,playce / camp,4
2025-06-01 18:50:27.449,person,playce / camp,5
2025-06-01 18:50:29.729,person,playce / camp,6
2025-06-01 18:50:31.801,person,playce / camp,7
2025-06-01 18:50:39.163,car,main road angre out,4
2025-06-01 18:50:41.313,car,main road angre out,5
2025-06-01 18:55:59.863,truck,out angre  area,1
2025-06-01 18:56:00.149,truck,out angre  area,2
