frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,car_color
18,2,[1061.692144354726 677.7519594180392 1325.4226725600654 890.4652323941782],[1146.4046630859375 759.0899658203125 1228.4736328125 781.3134765625],0.6396619081497192,2252KB01,0.23854487196876847,Unknown
33,2,[1099.2695711875947 676.7863216808735 1425.3703111538168 947.1449487521431],[1210.7044677734375 784.9537963867188 1315.0606689453125 811.39990234375],0.6899204850196838,2752KB01,0.2218838166405297,Unknown
34,2,[1102.201293238926 678.059298552253 1431.6476562534683 951.5616034906761],[1216.967041015625 785.7411499023438 1320.4930419921875 814.9589233398438],0.6630913615226746,2252KE01,0.30045720774005075,Unknown
35,2,[1105.137921915012 678.2117737293073 1439.2173879287982 954.0709819720333],[1220.427978515625 786.4286499023438 1325.0035400390625 813.0781860351562],0.601473867893219,2752KB01,0.3622448146641173,Unknown
36,2,[1107.7583466631224 678.6678081072366 1446.5596922946563 957.3668540435954],[1228.9669189453125 787.2205810546875 1332.451171875 815.899658203125],0.6302632689476013,2752IB01,0.13730200572324308,Unknown
41,2,[1117.9564735716422 673.4437613617405 1482.5217794214623 968.3902671753741],[1254.6710205078125 791.7457275390625 1362.3065185546875 823.3499145507812],0.7010969519615173,2752KB00,0.16492102725815647,Unknown
78,2,[1174.0178673087194 653.3036772977825 1730.887249091878 1021.2672042596873],[1456.4757080078125 812.8837280273438 1629.988037109375 856.5060424804688],0.591676652431488,2752KB05,0.21891484237601222,Unknown
91,2,[1180.9636107365143 628.2085678565016 1759.2753914478892 1016.177321889635],[1489.781982421875 794.1963500976562 1678.235595703125 839.0022583007812],0.6343299150466919,2752RB01,0.41676396221583706,Unknown
114,2,[1197.373781444506 603.7758529858304 1893.2652801437027 992.832546195192],[1539.4984130859375 766.93896484375 1723.5399169921875 809.0186157226562],0.593662679195404,2752KB03,0.14674127421349578,Unknown
340,2,[1022.9606380804793 617.69531389709 1726.3580484841327 1071.047879159443],[1301.865966796875 840.0950317382812 1520.930908203125 897.2521362304688],0.5102370381355286,2752KB01,0.13225952359106175,Unknown
355,2,[1017.0015793237496 613.6215140611384 1617.477669840909 1061.5442351445965],[1251.4420166015625 817.64501953125 1437.01318359375 865.1702270507812],0.5831219553947449,2752KB01,0.1970171716409912,Unknown
363,2,[1015.9868133080377 598.115124210218 1554.9448129047905 1042.913870836499],[1226.9539794921875 810.9979248046875 1377.5966796875 851.9899291992188],0.7348633408546448,2752KB01,0.33325211733991905,Unknown
371,132,[1027.2868628856136 633.586315656089 1507.977920647841 1014.1193506534487],[1207.3375244140625 801.6317138671875 1367.5013427734375 844.046630859375],0.7453915476799011,2752KB01,0.507825324691879,Unknown
385,132,[1026.6523835535031 643.7286688441048 1455.7279565459685 976.5160881210339],[1183.8568115234375 787.6975708007812 1330.4732666015625 826.2440185546875],0.7472119927406311,2752KB01,0.5314752427560121,Unknown
386,132,[1026.5691891917236 643.3863287287638 1452.4797722529347 973.5864523934918],[1182.0985107421875 784.1182250976562 1317.1490478515625 822.9545288085938],0.6985765099525452,2752KO01,0.5103217264972868,Unknown
393,132,[1029.1396258082943 640.971857205246 1435.400975869651 955.5347397535412],[1181.51123046875 775.7084350585938 1305.6644287109375 809.3319091796875],0.7118952870368958,2752KD01,0.22524658026978453,Unknown
403,132,[1040.3974533705527 641.993209303329 1419.1969196861278 937.2592320983565],[1173.51416015625 765.990234375 1306.7493896484375 801.563232421875],0.6768259406089783,2762KB01,0.3677839549020141,Unknown
